site_name,site_id,ccamlr region,longitude_EPSG4326,latitude_EPSG4326,common_name,day,month,year,season_starting,count,accuracy,count_type,vantage,reference,notes
Franklin Island,FRAN,88.1,168.43,-76.18,emperor penguin,Unknown,Unknown,2007,2007,4315,1,adults,aerial,"<strong>Kooyman, G.L. and P.J. Ponganis, </strong><i> 2016</i>. Rise and fall of Ross Sea emperor penguin colony populations: 2000 to 2012. Antarctic Science 29:201-208.",See original source for more details on methodology and survey precision.
Franklin Island,FRAN,88.1,168.43,-76.18,emperor penguin,Unknown,Unknown,2008,2008,5079,1,chicks,aerial,"<strong>Kooyman, G.L. and P.J. Ponganis, </strong><i> 2016</i>. Rise and fall of Ross Sea emperor penguin colony populations: 2000 to 2012. Antarctic Science 29:201-208.",See original source for more details on methodology and survey precision.
Franklin Island,FRAN,88.1,168.43,-76.18,emperor penguin,Unknown,Unknown,2008,2008,2103,1,adults,aerial,"<strong>Kooyman, G.L. and P.J. Ponganis, </strong><i> 2016</i>. Rise and fall of Ross Sea emperor penguin colony populations: 2000 to 2012. Antarctic Science 29:201-208.",See original source for more details on methodology and survey precision.
Franklin Island,FRAN,88.1,168.43,-76.18,emperor penguin,13,10,2009,2009,7561,2,adults,vhr,"<strong>Fretwell, P. T., M. A. LaRue, P. Morin, G. L. Kooyman, B. Wienecke, N. Ratcliffe, A. J. Fox, A. H. Fleming, C. Porter, and P. N. Trathan, </strong><i> 2012</i>. An emperor penguin population estimate: The first global, synoptic survey of a species from space. PLoS ONE 7:e33751.",See original source for more details on methodology and survey precision.
Franklin Island,FRAN,88.1,168.43,-76.18,emperor penguin,Unknown,Unknown,2010,2010,2475,2,chicks,aerial,"<strong>Kooyman, G.L. and P.J. Ponganis, </strong><i> 2016</i>. Rise and fall of Ross Sea emperor penguin colony populations: 2000 to 2012. Antarctic Science 29:201-208.",See original source for more details on methodology and survey precision.
Franklin Island,FRAN,88.1,168.43,-76.18,emperor penguin,Unknown,Unknown,2010,2010,5108,1,adults,aerial,"<strong>Kooyman, G.L. and P.J. Ponganis, </strong><i> 2016</i>. Rise and fall of Ross Sea emperor penguin colony populations: 2000 to 2012. Antarctic Science 29:201-208.",See original source for more details on methodology and survey precision.
Franklin Island,FRAN,88.1,168.43,-76.18,emperor penguin,Unknown,Unknown,2011,2011,3804,1,chicks,aerial,"<strong>Kooyman, G.L. and P.J. Ponganis, </strong><i> 2016</i>. Rise and fall of Ross Sea emperor penguin colony populations: 2000 to 2012. Antarctic Science 29:201-208.",See original source for more details on methodology and survey precision.
Franklin Island,FRAN,88.1,168.43,-76.18,emperor penguin,Unknown,Unknown,2011,2011,5609,1,adults,aerial,"<strong>Kooyman, G.L. and P.J. Ponganis, </strong><i> 2016</i>. Rise and fall of Ross Sea emperor penguin colony populations: 2000 to 2012. Antarctic Science 29:201-208.",See original source for more details on methodology and survey precision.
Franklin Island,FRAN,88.1,168.43,-76.18,emperor penguin,Unknown,Unknown,2012,2012,3171,1,chicks,aerial,"<strong>Kooyman, G.L. and P.J. Ponganis, </strong><i> 2016</i>. Rise and fall of Ross Sea emperor penguin colony populations: 2000 to 2012. Antarctic Science 29:201-208.",See original source for more details on methodology and survey precision.
Franklin Island,FRAN,88.1,168.43,-76.18,emperor penguin,Unknown,Unknown,2012,2012,7073,1,adults,aerial,"<strong>Kooyman, G.L. and P.J. Ponganis, </strong><i> 2016</i>. Rise and fall of Ross Sea emperor penguin colony populations: 2000 to 2012. Antarctic Science 29:201-208.",See original source for more details on methodology and survey precision.
